idx	weapon	skin	keychain	scope	background

1.png	deagle         None disco     dot       purple    
750.png	p90            6    None      None      green     
751.png	hunting_rifle  1    None      dot       blue      
752.png	mp5            4    None      dot       green     
753.png	deagle         4    medal     acog      blue      
754.png	deagle         4    None      dot       red       
755.png	tar            5    pinata    dot       purple    
756.png	deagle         4    pinata    None      green     
757.png	p90            4    None      None      purple    
758.png	p90            2    dice      dot       blue      
759.png	p90            8    disco     dot       green     
760.png	revolver       4    None      holo      purple    
761.png	hunting_rifle  2    pinata    acog      red       
762.png	hunting_rifle  3    None      None      purple    
763.png	tar            None None      acog      purple    
764.png	p90            7    leaf      None      purple    
765.png	knife          7    None      None      blue      
766.png	db             4    None      dot       green     
767.png	deagle         1    disco     dot       blue      
768.png	deagle         5    leaf      holo      green     
769.png	spaz           3    None      dot       green     
770.png	p90            None leaf      None      green     
771.png	revolver       2    None      None      green     
772.png	p90            None leaf      dot       blue      
773.png	p90            8    dice      holo      purple    
774.png	spaz           None dice      None      blue      
775.png	deagle         5    leaf      dot       blue      
776.png	deagle         None None      dot       green     
777.png	spaz           None dice      None      red       
778.png	deagle         1    None      holo      purple    
779.png	revolver       4    None      holo      blue      
780.png	revolver       None leaf      None      green     
781.png	db             2    dice      dot       blue      
782.png	deagle         4    dice      None      green     
783.png	revolver       None None      None      blue      
784.png	p90            1    None      None      blue      
785.png	deagle         5    disco     acog      green     
786.png	mp5            6    None      dot       green     
787.png	mp5            4    leaf      dot       green     
788.png	revolver       1    None      holo      purple    
789.png	p90            1    None      dot       blue      
790.png	db             3    dice      None      blue      
791.png	spaz           7    medal     None      red       
792.png	ak47           3    dice      None      green     
793.png	db             6    leaf      dot       purple    
794.png	deagle         None None      None      blue      
795.png	revolver       3    None      holo      blue      
796.png	revolver       3    None      None      blue      
797.png	hunting_rifle  5    None      acog      blue      
798.png	deagle         2    None      thermal   green     
799.png	spaz           6    None      None      green     
800.png	mp5            None None      dot       green     
801.png	mp5            5    None      holo      green     
802.png	ak47           1    dice      None      purple    
803.png	spaz           2    leaf      None      green     
804.png	deagle         1    None      None      green     
805.png	p90            6    None      None      green     
806.png	revolver       3    dice      holo      blue      
807.png	spaz           2    medal     None      blue      
808.png	db             5    leaf      holo      purple    
809.png	l96            7    disco     dot       green     
810.png	db             7    leaf      dot       blue      
811.png	mp5            7    medal     dot       green     
812.png	ak47           2    leaf      dot       green     
813.png	ak47           4    leaf      None      green     
814.png	revolver       3    None      dot       blue      
815.png	db             2    leaf      acog      blue      
816.png	spaz           6    None      None      purple    
817.png	spaz           8    None      None      green     
818.png	db             4    disco     dot       purple    
819.png	mp5            1    None      dot       purple    
820.png	p90            None None      None      green     
821.png	ak47           2    None      dot       blue      
822.png	revolver       2    leaf      acog      green     
823.png	db             8    None      None      purple    
824.png	revolver       7    dice      None      blue      
825.png	p90            2    disco     dot       blue      
826.png	knife          3    None      None      green     
827.png	mp5            6    leaf      acog      purple    
828.png	revolver       3    None      acog      blue      
829.png	hunting_rifle  None disco     dot       red       
830.png	mp5            5    pinata    dot       green     
831.png	deagle         None None      None      purple    
832.png	p90            4    pinata    holo      purple    
833.png	p90            6    None      acog      green     
834.png	mp5            None disco     acog      blue      
835.png	revolver       None None      dot       blue      
836.png	hunting_rifle  8    disco     None      green     
837.png	mp5            None None      dot       green     
838.png	db             1    leaf      dot       blue      
839.png	deagle         6    None      None      blue      
840.png	db             8    None      holo      purple    
841.png	deagle         None None      dot       green     
842.png	mp5            None disco     None      green     
843.png	l96            None leaf      None      green     
844.png	db             2    None      None      blue      
845.png	hunting_rifle  None None      thermal   green     
846.png	deagle         5    pinata    dot       green     
847.png	deagle         5    medal     None      green     
848.png	tar            None None      None      blue      
849.png	ak47           2    None      holo      blue      
850.png	hunting_rifle  7    leaf      None      purple    
851.png	mp5            None None      None      purple    
852.png	spaz           6    leaf      holo      blue      
853.png	p90            1    None      dot       blue      
854.png	l96            None disco     None      blue      
855.png	p90            6    None      holo      green     
856.png	spaz           6    leaf      dot       green     
857.png	mp5            None None      None      purple    
858.png	revolver       None None      None      purple    
859.png	spaz           4    None      dot       blue      
860.png	deagle         None None      thermal   blue      
861.png	db             1    None      dot       green     
862.png	mp5            6    None      None      blue      
863.png	tar            2    leaf      dot       green     
864.png	db             None dice      dot       green     
865.png	db             6    None      None      green     
866.png	hunting_rifle  4    None      dot       purple    
867.png	p90            6    None      None      blue      
868.png	p90            2    medal     None      blue      
869.png	p90            2    None      holo      green     
870.png	db             1    None      None      green     
871.png	l96            4    None      thermal   red       
872.png	spaz           1    disco     holo      green     
873.png	deagle         6    medal     acog      green     
874.png	spaz           8    dice      dot       green     
875.png	revolver       None None      acog      purple    
876.png	deagle         4    leaf      None      purple    
877.png	deagle         1    None      acog      blue      
878.png	p90            6    None      acog      green     
879.png	db             3    None      dot       green     
880.png	spaz           2    None      acog      blue      
881.png	ak47           6    None      holo      purple    
882.png	deagle         8    disco     dot       green     
883.png	mp5            None leaf      holo      red       
884.png	mp5            8    pinata    dot       blue      
885.png	hunting_rifle  2    leaf      dot       green     
886.png	mp5            None None      thermal   blue      
887.png	spaz           4    None      holo      green     
888.png	spaz           8    None      acog      blue      
889.png	db             8    leaf      None      green     
890.png	ray_gun        4    pinata    acog      blue      
891.png	deagle         3    leaf      None      blue      
892.png	mp5            None None      None      green     
893.png	spaz           3    None      dot       green     
894.png	db             5    None      holo      green     
895.png	deagle         3    None      dot       green     
896.png	revolver       7    disco     None      blue      
897.png	l96            2    None      dot       green     
898.png	deagle         3    None      dot       blue      
899.png	p90            1    leaf      holo      blue      
900.png	mp5            7    None      dot       green     
901.png	revolver       2    leaf      acog      green     
902.png	deagle         None None      dot       red       
903.png	p90            6    None      None      purple    
904.png	deagle         7    None      acog      purple    
905.png	revolver       2    None      dot       blue      
906.png	p90            4    None      dot       blue      
907.png	hunting_rifle  7    None      None      blue      
908.png	revolver       2    None      None      green     
909.png	revolver       None medal     acog      red       
910.png	spaz           None None      acog      purple    
911.png	l96            2    disco     holo      green     
912.png	revolver       8    None      acog      green     
913.png	db             1    None      acog      green     
914.png	deagle         7    leaf      holo      green     
915.png	db             1    disco     None      green     
916.png	rpg            2    leaf      dot       blue      
917.png	p90            2    disco     holo      purple    
918.png	deagle         None None      holo      blue      
919.png	mp5            1    None      None      purple    
920.png	spaz           7    medal     None      blue      
921.png	deagle         5    None      dot       green     
922.png	revolver       1    medal     dot       green     
923.png	rpg            2    None      dot       blue      
924.png	ak47           1    None      acog      purple    
925.png	ray_gun        8    None      acog      purple    
926.png	hunting_rifle  2    None      dot       green     
927.png	p90            3    None      dot       green     
928.png	knife          None None      None      green     
929.png	mp5            7    None      thermal   blue      
930.png	mp5            2    dice      acog      green     
931.png	p90            None disco     dot       green     
932.png	deagle         None None      dot       blue      
933.png	p90            4    None      None      green     
934.png	l96            None leaf      dot       green     
935.png	p90            1    medal     None      green     
936.png	revolver       6    leaf      dot       green     
937.png	db             4    leaf      dot       green     
938.png	deagle         5    None      dot       green     
939.png	revolver       None leaf      acog      purple    
940.png	p90            6    None      None      purple    
941.png	db             8    None      acog      green     
942.png	ak47           4    None      None      blue      
943.png	revolver       1    None      None      blue      
944.png	spaz           None leaf      holo      green     
945.png	revolver       7    leaf      None      green     
946.png	deagle         1    leaf      thermal   green     
947.png	spaz           4    leaf      None      green     
948.png	revolver       3    None      None      blue      
949.png	db             3    leaf      None      green     
950.png	ak47           5    pinata    holo      green     
951.png	l96            3    None      acog      green     
952.png	p90            1    leaf      holo      blue      
953.png	deagle         1    None      dot       blue      
954.png	mp5            5    None      None      blue      
955.png	mp5            3    None      acog      green     
956.png	mp5            8    medal     acog      green     
957.png	hunting_rifle  2    None      acog      red       
958.png	db             2    None      None      purple    
959.png	l96            5    None      None      green     
960.png	deagle         3    None      None      green     
961.png	p90            1    None      acog      green     
962.png	hunting_rifle  None leaf      acog      green     
963.png	db             2    leaf      dot       green     
964.png	p90            7    None      acog      green     
965.png	l96            2    None      holo      green     
966.png	p90            1    leaf      dot       blue      
967.png	revolver       8    None      dot       green     
968.png	spaz           3    medal     None      blue      
969.png	db             4    medal     thermal   blue      
970.png	spaz           3    dice      None      blue      
971.png	db             None None      holo      green     
972.png	deagle         1    pinata    dot       blue      
973.png	mp5            7    None      dot       green     
974.png	revolver       2    None      dot       blue      
975.png	revolver       3    None      holo      blue      
976.png	deagle         7    None      dot       green     
977.png	deagle         7    disco     acog      green     
978.png	deagle         1    medal     None      blue      
979.png	deagle         2    None      None      green     
980.png	deagle         7    None      None      purple    
981.png	spaz           7    None      holo      green     
982.png	p90            7    None      acog      green     
983.png	hunting_rifle  6    medal     thermal   green     
984.png	deagle         1    None      dot       blue      
985.png	db             3    None      None      green     
986.png	deagle         None None      holo      green     
987.png	spaz           4    leaf      dot       green     
988.png	ak47           None None      holo      green     
989.png	spaz           None medal     dot       blue      
990.png	mp5            None None      acog      blue      
991.png	p90            None medal     dot       blue      
992.png	tar            None dice      dot       blue      
993.png	p90            2    leaf      acog      purple    
994.png	mp5            4    disco     None      blue      
995.png	revolver       None None      dot       blue      
996.png	revolver       None leaf      acog      green     
997.png	hunting_rifle  5    None      None      green     
998.png	deagle         None None      dot       green     
999.png	deagle         4    disco     holo      green     
1000.png	l96            2    None      None      green     
1001.png	l96            6    leaf      None      blue      
1002.png	spaz           None leaf      dot       blue      
1003.png	p90            7    None      acog      green     
1004.png	db             2    None      holo      blue      
1005.png	revolver       1    None      acog      blue      
1006.png	revolver       1    None      None      blue      
1007.png	rpg            1    None      None      green     
1008.png	revolver       None None      acog      green     
1009.png	db             2    None      thermal   green     
1010.png	revolver       None None      dot       green     
1011.png	revolver       6    None      acog      green     
1012.png	l96            1    pinata    holo      blue      
1013.png	hunting_rifle  8    None      None      green     
1014.png	revolver       3    leaf      acog      blue      
1015.png	hunting_rifle  1    leaf      None      green     
1016.png	hunting_rifle  5    leaf      dot       blue      
1017.png	spaz           None disco     acog      blue      
1018.png	tar            2    None      holo      blue      
1019.png	mp5            None None      None      green     
1020.png	db             4    None      acog      blue      
1021.png	db             7    medal     None      green     
1022.png	ak47           2    disco     acog      blue      
1023.png	hunting_rifle  1    dice      dot       green     
1024.png	db             5    leaf      dot       green     
1025.png	db             5    None      holo      blue      
1026.png	mp5            8    None      None      green     
1027.png	spaz           6    None      holo      green     
1028.png	hunting_rifle  7    leaf      dot       blue      
1029.png	db             2    disco     acog      blue      
1030.png	spaz           None leaf      dot       blue      
1031.png	hunting_rifle  1    None      holo      green     
1032.png	deagle         2    disco     holo      purple    
1033.png	spaz           None disco     None      green     
1034.png	p90            3    None      None      purple    
1035.png	revolver       2    None      None      blue      
1036.png	tar            None medal     acog      blue      
1037.png	deagle         2    None      acog      green     
1038.png	spaz           6    leaf      acog      green     
1039.png	db             1    None      None      green     
1040.png	tar            1    medal     dot       red       
1041.png	l96            6    None      dot       purple    
1042.png	revolver       2    medal     None      purple    
1043.png	db             5    None      None      green     
1044.png	rpg            5    disco     acog      blue      
1045.png	hunting_rifle  5    dice      acog      blue      
1046.png	tar            1    None      thermal   blue      
1047.png	deagle         1    leaf      dot       blue      
1048.png	revolver       7    disco     dot       green     
1049.png	db             1    medal     None      green     
1050.png	revolver       1    None      dot       green     
1051.png	p90            1    None      acog      blue      
1052.png	spaz           8    medal     acog      green     
1053.png	deagle         None leaf      dot       blue      
1054.png	spaz           5    None      acog      green     
1055.png	db             5    None      holo      blue      
1056.png	deagle         None pinata    acog      green     
1057.png	hunting_rifle  3    None      acog      blue      
1058.png	ak47           None pinata    None      purple    
1059.png	deagle         None None      dot       blue      
1060.png	revolver       None leaf      None      blue      
1061.png	deagle         3    None      acog      blue      
1062.png	deagle         2    None      None      green     
1063.png	l96            2    leaf      None      red       
1064.png	revolver       None disco     dot       purple    
1065.png	revolver       1    None      None      green     
1066.png	spaz           1    medal     None      green     
1067.png	ak47           8    None      None      green     
1068.png	deagle         None medal     None      blue      
1069.png	spaz           2    None      dot       blue      
1070.png	rpg            1    None      holo      blue      
1071.png	revolver       2    medal     None      purple    
1072.png	p90            5    medal     dot       green     
1073.png	hunting_rifle  5    None      dot       blue      
1074.png	revolver       3    None      holo      green     
1075.png	p90            None pinata    None      blue      
1076.png	mp5            1    None      None      green     
1077.png	deagle         None None      None      blue      
1078.png	p90            None None      acog      green     
1079.png	p90            7    leaf      None      green     
1080.png	mp5            8    None      None      blue      
1081.png	db             3    dice      dot       blue      
1082.png	l96            4    medal     thermal   purple    
1083.png	ak47           7    None      dot       green     
1084.png	db             None leaf      holo      green     
1085.png	ak47           6    None      None      blue      
1086.png	db             8    dice      dot       green     
1087.png	p90            4    None      None      blue      
1088.png	deagle         3    None      holo      green     
1089.png	deagle         1    pinata    None      red       
1090.png	mp5            None None      acog      green     
1091.png	db             None None      None      blue      
1092.png	hunting_rifle  4    medal     None      green     
1093.png	p90            4    None      dot       green     
1094.png	deagle         6    None      None      blue      
1095.png	mp5            1    disco     acog      green     
1096.png	revolver       None None      acog      green     
1097.png	revolver       6    dice      dot       green     
1098.png	db             None None      thermal   blue      
1099.png	p90            3    None      dot       purple    
1100.png	db             8    leaf      None      blue      
1101.png	mp5            None None      acog      green     
1102.png	p90            2    None      acog      green     
1103.png	db             2    None      None      green     
1104.png	l96            6    medal     acog      purple    
1105.png	spaz           7    disco     dot       blue      
1106.png	ray_gun        6    None      dot       blue      
1107.png	db             4    None      None      green     
1108.png	spaz           8    dice      None      green     
1109.png	p90            3    leaf      None      purple    
1110.png	p90            8    leaf      None      green     
1111.png	hunting_rifle  1    None      dot       purple    
1112.png	l96            8    leaf      acog      blue      
1113.png	hunting_rifle  3    medal     acog      blue      
1114.png	spaz           2    medal     thermal   blue      
1115.png	deagle         3    dice      holo      blue      
1116.png	deagle         4    None      thermal   green     
1117.png	revolver       2    disco     None      green     
1118.png	spaz           5    None      None      green     
1119.png	deagle         2    leaf      None      blue      
1120.png	rpg            5    None      None      red       
1121.png	l96            1    disco     holo      green     
1122.png	p90            7    disco     acog      blue      
1123.png	deagle         1    None      holo      blue      
1124.png	revolver       None None      dot       red       
1125.png	revolver       1    pinata    None      blue      
1126.png	db             None medal     thermal   green     
1127.png	revolver       None leaf      holo      red       
1128.png	l96            2    leaf      acog      green     
1129.png	spaz           7    None      None      blue      
1130.png	db             8    disco     dot       blue      
1131.png	mp5            None medal     None      green     
1132.png	revolver       7    disco     holo      purple    
1133.png	revolver       1    None      holo      green     
1134.png	spaz           None disco     None      blue      
1135.png	spaz           2    leaf      None      green     
1136.png	revolver       3    leaf      dot       blue      
1137.png	deagle         3    disco     holo      green     
1138.png	db             1    disco     None      green     
1139.png	revolver       3    disco     None      green     
1140.png	deagle         7    disco     None      blue      
1141.png	mp5            4    None      acog      green     
1142.png	db             5    None      None      blue      
1143.png	mp5            3    None      dot       blue      
1144.png	p90            7    None      acog      blue      
1145.png	mp5            6    None      holo      blue      
1146.png	l96            6    None      None      blue      
1147.png	db             None leaf      None      blue      
1148.png	db             1    None      dot       green     
1149.png	db             8    None      holo      green     
1150.png	p90            1    None      acog      blue      
1151.png	spaz           2    None      acog      green     
1152.png	deagle         2    disco     None      green     
1153.png	p90            None leaf      None      purple    
1154.png	mp5            6    leaf      holo      green     
1155.png	hunting_rifle  4    dice      dot       green     
1156.png	spaz           3    pinata    holo      green     
1157.png	mp5            2    None      dot       green     
1158.png	p90            4    pinata    holo      blue      
1159.png	spaz           None disco     holo      green     
1160.png	revolver       None None      holo      green     
1161.png	l96            1    disco     acog      blue      
1162.png	db             3    leaf      None      green     
1163.png	p90            6    dice      holo      green     
1164.png	db             7    leaf      dot       green     
1165.png	deagle         None None      None      green     
1166.png	deagle         3    disco     acog      purple    
1167.png	deagle         6    disco     None      blue      
1168.png	mp5            None None      None      green     
1169.png	tar            7    None      dot       green     
1170.png	db             7    disco     acog      blue      
1171.png	db             8    None      dot       blue      
1172.png	l96            2    None      dot       blue      
1173.png	revolver       3    disco     dot       blue      
1174.png	db             None disco     acog      blue      
1175.png	tar            4    medal     None      green     
1176.png	db             1    None      acog      green     
1177.png	db             1    leaf      None      blue      
1178.png	db             4    None      acog      green     
1179.png	ak47           2    None      None      green     
1180.png	mp5            2    pinata    dot       blue      
1181.png	hunting_rifle  3    disco     None      blue      
1182.png	spaz           7    None      None      green     
1183.png	hunting_rifle  1    None      None      blue      
1184.png	hunting_rifle  8    pinata    dot       blue      
1185.png	l96            1    None      holo      blue      
1186.png	db             None disco     dot       green     
1187.png	rpg            4    dice      dot       blue      
1188.png	revolver       3    leaf      None      blue      
1189.png	db             3    None      None      green     
1190.png	spaz           6    leaf      None      blue      
1191.png	p90            5    None      None      purple    
1192.png	revolver       5    disco     acog      blue      
1193.png	revolver       2    dice      None      blue      
1194.png	ak47           7    leaf      None      green     
1195.png	hunting_rifle  7    dice      None      green     
1196.png	deagle         5    pinata    thermal   blue      
1197.png	deagle         6    None      holo      blue      
1198.png	hunting_rifle  3    leaf      dot       green     
1199.png	p90            8    leaf      None      blue      
1200.png	spaz           7    None      holo      green     
1201.png	p90            3    leaf      None      blue      
1202.png	l96            7    leaf      None      purple    
1203.png	p90            None disco     dot       blue      
1204.png	spaz           None None      None      green     
1205.png	spaz           2    None      acog      green     
1206.png	deagle         1    None      dot       purple    
1207.png	p90            7    None      None      purple    
1208.png	revolver       3    dice      holo      blue      
1209.png	revolver       None None      holo      green     
1210.png	ak47           4    medal     acog      blue      
1211.png	hunting_rifle  7    None      None      green     
1212.png	p90            5    disco     holo      purple    
1213.png	spaz           None None      acog      green     
1214.png	spaz           4    None      acog      green     
1215.png	db             6    dice      None      red       
1216.png	spaz           None None      holo      red       
1217.png	deagle         4    disco     dot       purple    
1218.png	mp5            None None      thermal   green     
1219.png	deagle         4    None      None      blue      
1220.png	p90            3    leaf      holo      blue      
1221.png	tar            2    medal     None      green     
1222.png	p90            None leaf      None      purple    
1223.png	mp5            None medal     acog      green     
1224.png	deagle         1    leaf      acog      purple    
1225.png	deagle         3    dice      dot       green     
1226.png	spaz           3    disco     None      purple    
1227.png	revolver       7    None      acog      green     
1228.png	p90            None pinata    None      green     
1229.png	mp5            4    leaf      acog      green     
1230.png	spaz           4    None      None      purple    
1231.png	revolver       2    medal     holo      green     
1232.png	l96            8    pinata    None      purple    
1233.png	deagle         5    disco     acog      blue      
1234.png	mp5            None None      dot       purple    
1235.png	db             4    None      dot       green     
1236.png	spaz           4    None      None      green     
1237.png	db             5    leaf      acog      green     
1238.png	db             None None      thermal   green     
1239.png	revolver       None None      acog      green     
1240.png	p90            3    disco     None      blue      
1241.png	l96            6    medal     None      blue      
1242.png	revolver       5    None      None      green     
1243.png	p90            4    dice      dot       green     
1244.png	spaz           1    leaf      holo      blue      
1245.png	deagle         5    medal     None      red       
1246.png	ak47           2    None      acog      blue      
1247.png	p90            3    None      holo      green     
1248.png	ak47           None None      holo      purple    
1249.png	mp5            4    None      None      purple    
1250.png	p90            2    leaf      None      blue      
1251.png	l96            4    medal     acog      blue      
1252.png	l96            None leaf      None      blue      
1253.png	p90            None medal     acog      blue      
1254.png	spaz           8    None      thermal   blue      
1255.png	revolver       6    None      acog      green     
1256.png	hunting_rifle  3    medal     dot       purple    
1257.png	revolver       7    None      dot       purple    
1258.png	ak47           1    None      None      green     
1259.png	db             3    None      acog      green     
1260.png	deagle         1    None      holo      purple    
1261.png	p90            1    None      None      blue      
1262.png	revolver       8    disco     acog      green     
1263.png	spaz           3    None      dot       blue      
1264.png	db             5    leaf      None      blue      
1265.png	revolver       2    None      None      blue      
1266.png	spaz           None leaf      holo      blue      
1267.png	p90            1    medal     dot       green     
1268.png	ak47           None medal     acog      green     
1269.png	l96            1    None      None      red       
1270.png	p90            2    medal     dot       green     
1271.png	hunting_rifle  None leaf      thermal   green     
1272.png	deagle         8    dice      None      red       
1273.png	db             None None      acog      green     
1274.png	hunting_rifle  1    None      None      green     
1275.png	mp5            3    disco     acog      blue      
1276.png	rpg            3    None      dot       blue      
1277.png	db             2    medal     dot       purple    
1278.png	revolver       3    None      dot       green     
1279.png	db             2    dice      dot       blue      
1280.png	rpg            2    None      None      green     
1281.png	revolver       6    leaf      dot       purple    
1282.png	rpg            None None      None      green     
1283.png	revolver       2    None      holo      purple    
1284.png	db             4    leaf      holo      blue      
1285.png	db             2    None      acog      blue      
1286.png	spaz           1    None      holo      green     
1287.png	hunting_rifle  None None      None      blue      
1288.png	revolver       1    dice      None      blue      
1289.png	spaz           4    None      acog      blue      
1290.png	l96            None leaf      None      blue      
1291.png	db             7    None      None      green     
1292.png	revolver       6    pinata    None      green     
1293.png	db             1    medal     holo      green     
1294.png	mp5            None None      dot       red       
1295.png	tar            3    disco     dot       purple    
1296.png	mp5            8    None      holo      blue      
1297.png	deagle         4    pinata    holo      purple    
1298.png	revolver       5    medal     None      blue      
1299.png	mp5            None leaf      None      blue      
1300.png	db             6    None      thermal   green     
1301.png	spaz           3    None      acog      blue      
1302.png	db             None None      acog      green     
1303.png	mp5            None None      None      blue      
1304.png	revolver       1    None      dot       green     
1305.png	revolver       None pinata    None      blue      
1306.png	ak47           1    disco     holo      green     
1307.png	deagle         6    None      dot       green     
1308.png	db             None dice      None      blue      
1309.png	p90            4    leaf      None      green     
1310.png	rpg            1    None      acog      purple    
1311.png	p90            2    disco     None      green     
1312.png	p90            None None      acog      green     
1313.png	mp5            None None      None      green     
1314.png	deagle         6    None      thermal   green     
1315.png	revolver       None leaf      dot       green     
1316.png	db             3    None      dot       red       
1317.png	deagle         6    disco     holo      blue      
1318.png	mp5            6    None      dot       blue      
1319.png	l96            5    None      dot       red       
1320.png	revolver       None disco     holo      green     
1321.png	hunting_rifle  4    None      acog      blue      
1322.png	deagle         1    None      None      blue      
1323.png	db             4    None      holo      green     
1324.png	revolver       6    None      None      blue      
1325.png	hunting_rifle  1    None      dot       green     
1326.png	tar            5    medal     dot       purple    
1327.png	hunting_rifle  4    None      holo      purple    
1328.png	deagle         1    disco     holo      blue      
1329.png	hunting_rifle  1    medal     dot       blue      
1330.png	db             3    leaf      dot       purple    
1331.png	tar            5    None      None      red       
1332.png	revolver       2    dice      acog      purple    
1333.png	db             8    None      dot       green     
1334.png	spaz           2    disco     None      green     
1335.png	spaz           5    dice      None      green     
1336.png	p90            7    None      acog      blue      
1337.png	db             None None      None      green     
1338.png	spaz           5    None      holo      green     
1339.png	ak47           9    None      dot       green     
1340.png	db             4    None      dot       green     
1341.png	p90            2    medal     None      green     
1342.png	db             3    pinata    thermal   green     
1343.png	mp5            5    disco     None      blue      
1344.png	p90            1    pinata    acog      green     
1345.png	mp5            3    dice      holo      green     
1346.png	revolver       1    dice      acog      blue      
1347.png	l96            None None      dot       blue      
1348.png	ak47           6    disco     acog      green     
1349.png	deagle         1    None      None      purple    
1350.png	mp5            8    leaf      None      green     
1351.png	hunting_rifle  3    disco     None      purple    
1352.png	l96            5    leaf      dot       purple    
1353.png	deagle         2    None      None      green     
1354.png	revolver       6    disco     dot       blue      
1355.png	spaz           None leaf      None      green     
1356.png	mp5            7    None      None      blue      
1357.png	deagle         None None      holo      green     
1358.png	db             2    leaf      None      purple    
1359.png	revolver       None None      acog      green     
1360.png	hunting_rifle  None None      thermal   blue      
1361.png	revolver       2    None      None      purple    
1362.png	db             6    None      dot       blue      
1363.png	spaz           6    None      dot       green     
1364.png	deagle         1    None      acog      blue      
1365.png	revolver       2    None      holo      red       
1366.png	hunting_rifle  4    medal     None      blue      
1367.png	hunting_rifle  None leaf      thermal   purple    
1368.png	l96            None medal     acog      blue      
1369.png	db             2    disco     dot       green     
1370.png	deagle         None None      dot       green     
1371.png	db             4    disco     None      green     
1372.png	deagle         4    leaf      acog      blue      
1373.png	deagle         6    dice      None      green     
1374.png	db             3    None      acog      blue      
1375.png	p90            8    None      acog      purple    
1376.png	spaz           None None      holo      purple    
1377.png	mp5            2    None      None      purple    
1378.png	rpg            6    None      holo      green     
1379.png	mp5            3    leaf      None      blue      
1380.png	db             3    leaf      holo      green     
1381.png	hunting_rifle  3    None      None      purple    
1382.png	rpg            4    None      dot       green     
1383.png	deagle         7    None      dot       green     
1384.png	revolver       None None      None      green     
1385.png	revolver       6    None      acog      green     
1386.png	p90            5    leaf      dot       blue      
1387.png	hunting_rifle  None None      dot       purple    
1388.png	spaz           2    None      None      green     
1389.png	revolver       2    None      None      blue      
1390.png	db             2    leaf      holo      green     
1391.png	spaz           None None      holo      purple    
1392.png	hunting_rifle  5    None      dot       green     
1393.png	spaz           3    None      holo      blue      
1394.png	p90            1    disco     None      green     
1395.png	spaz           5    disco     holo      purple    
1396.png	revolver       3    None      acog      green     
1397.png	revolver       5    None      acog      green     
1398.png	spaz           1    leaf      acog      green     
1399.png	deagle         4    None      holo      green     
1400.png	hunting_rifle  1    None      None      purple    
1401.png	spaz           7    medal     None      blue      
1402.png	revolver       4    leaf      None      blue      
1403.png	mp5            6    None      None      blue      
1404.png	mp5            7    medal     None      blue      
1405.png	revolver       6    leaf      None      green     
1406.png	revolver       7    leaf      None      purple    
1407.png	revolver       1    leaf      dot       purple    
1408.png	deagle         3    None      None      green     
1409.png	deagle         2    dice      dot       green     
1410.png	mp5            1    None      dot       green     
1411.png	p90            3    medal     None      green     
1412.png	l96            1    medal     None      green     
1413.png	db             None pinata    acog      green     
1414.png	l96            5    None      holo      green     
1415.png	ak47           None leaf      None      green     
1416.png	spaz           None leaf      holo      green     
1417.png	tar            4    pinata    dot       green     
1418.png	spaz           1    pinata    dot       green     
1419.png	deagle         4    None      dot       green     
1420.png	db             4    leaf      None      blue      
1421.png	revolver       2    None      None      green     
1422.png	db             2    leaf      thermal   red       
1423.png	hunting_rifle  8    dice      None      blue      
1424.png	p90            None disco     None      green     
1425.png	ray_gun        5    None      thermal   blue      
1426.png	ak47           7    leaf      None      green     
1427.png	rpg            2    None      dot       blue      
1428.png	deagle         5    None      acog      purple    
1429.png	spaz           1    None      acog      blue      
1430.png	revolver       None dice      dot       red       
1431.png	p90            2    None      holo      red       
1432.png	spaz           2    disco     None      green     
1433.png	tar            3    None      dot       purple    
1434.png	p90            1    dice      holo      green     
1435.png	p90            1    None      holo      purple    
1436.png	revolver       8    leaf      None      green     
1437.png	ak47           None None      dot       blue      
1438.png	deagle         4    leaf      None      green     
1439.png	revolver       8    None      holo      blue      
1440.png	hunting_rifle  None None      dot       red       
1441.png	deagle         2    medal     dot       green     
1442.png	mp5            5    None      None      green     
1443.png	spaz           1    None      acog      blue      
1444.png	p90            4    leaf      acog      green     
1445.png	revolver       4    leaf      holo      green     
1446.png	mp5            5    None      acog      purple    
1447.png	revolver       3    leaf      acog      blue      
1448.png	p90            3    pinata    None      blue      
1449.png	deagle         7    dice      acog      green     
1450.png	deagle         None medal     holo      green     
1451.png	db             None None      dot       green     
1452.png	p90            1    dice      None      blue      
1453.png	revolver       7    None      holo      blue      
1454.png	p90            None disco     None      green     
1455.png	p90            3    disco     holo      blue      
1456.png	spaz           4    None      None      purple    
1457.png	deagle         1    None      None      green     
1458.png	p90            1    None      acog      green     
1459.png	deagle         None disco     acog      blue      
1460.png	db             2    None      dot       purple    
1461.png	hunting_rifle  6    None      holo      blue      
1462.png	hunting_rifle  5    None      None      purple    
1463.png	rpg            6    pinata    thermal   blue      
1464.png	revolver       5    disco     acog      green     
1465.png	spaz           8    medal     holo      green     
1466.png	deagle         7    leaf      thermal   purple    
1467.png	db             4    None      None      green     
1468.png	mp5            1    pinata    dot       green     
1469.png	spaz           None None      None      green     
1470.png	p90            5    disco     dot       red       
1471.png	spaz           4    None      holo      green     
1472.png	deagle         2    leaf      acog      green     
1473.png	mp5            None None      acog      purple    
1474.png	ak47           2    leaf      acog      blue      
1475.png	db             2    medal     holo      blue      
1476.png	spaz           8    None      None      purple    
1477.png	p90            1    None      acog      blue      
