idx	weapon	skin	keychain	scope	background

1.png	hunting_rifle  None None      dot       blue      
1309.png	deagle         4    None      dot       purple    
1310.png	hunting_rifle  None None      None      green     
1311.png	revolver       None leaf      holo      blue      
1312.png	deagle         2    None      None      blue      
1313.png	hunting_rifle  2    leaf      holo      green     
1314.png	mp5            1    leaf      None      green     
1315.png	mp5            5    leaf      dot       purple    
1316.png	spaz           7    None      acog      blue      
1317.png	ray_gun        None None      None      blue      
1318.png	hunting_rifle  7    disco     dot       blue      
1319.png	spaz           3    medal     holo      blue      
1320.png	deagle         1    None      None      green     
1321.png	revolver       7    None      dot       green     
1322.png	spaz           2    None      acog      purple    
1323.png	revolver       4    disco     None      red       
1324.png	hunting_rifle  None None      dot       green     
1325.png	deagle         6    None      holo      red       
1326.png	deagle         6    None      acog      purple    
1327.png	spaz           1    None      None      red       
1328.png	p90            5    None      None      purple    
1329.png	db             None None      acog      green     
1330.png	hunting_rifle  8    None      dot       blue      
1331.png	p90            2    None      None      blue      
1332.png	mp5            1    pinata    acog      green     
1333.png	p90            8    pinata    acog      purple    
1334.png	p90            4    None      None      blue      
1335.png	l96            2    None      dot       green     
1336.png	spaz           None None      dot       green     
1337.png	l96            None leaf      thermal   green     
1338.png	revolver       2    leaf      dot       green     
1339.png	deagle         1    None      acog      green     
1340.png	spaz           3    None      acog      green     
1341.png	l96            8    medal     None      green     
1342.png	mp5            7    None      holo      green     
1343.png	db             5    None      acog      blue      
1344.png	deagle         2    medal     holo      purple    
1345.png	revolver       2    None      dot       blue      
1346.png	hunting_rifle  2    None      None      blue      
1347.png	tar            6    pinata    holo      blue      
1348.png	mp5            8    None      None      green     
1349.png	revolver       1    leaf      None      green     
1350.png	l96            3    None      None      green     
1351.png	tar            7    leaf      None      green     
1352.png	tar            7    leaf      dot       green     
1353.png	tar            2    disco     acog      red       
1354.png	mp5            6    dice      None      green     
1355.png	deagle         4    leaf      dot       blue      
1356.png	revolver       3    disco     None      green     
1357.png	revolver       6    None      acog      blue      
1358.png	p90            1    leaf      None      green     
1359.png	rpg            2    leaf      None      purple    
1360.png	mp5            2    leaf      acog      blue      
1361.png	deagle         5    None      None      purple    
1362.png	mp5            7    None      None      blue      
1363.png	mp5            7    None      None      purple    
1364.png	mp5            None disco     acog      blue      
1365.png	spaz           1    None      None      red       
1366.png	hunting_rifle  3    None      holo      purple    
1367.png	deagle         6    dice      None      purple    
1368.png	deagle         1    None      dot       green     
1369.png	revolver       4    None      None      purple    
1370.png	revolver       None None      dot       green     
1371.png	hunting_rifle  5    dice      None      green     
1372.png	p90            6    leaf      None      blue      
1373.png	l96            2    None      holo      green     
1374.png	l96            None leaf      acog      green     
1375.png	spaz           1    None      dot       green     
1376.png	revolver       2    disco     thermal   green     
1377.png	l96            None pinata    dot       green     
1378.png	p90            1    None      dot       blue      
1379.png	revolver       None None      None      blue      
1380.png	mp5            None None      dot       blue      
1381.png	rpg            None None      acog      blue      
1382.png	knife          None disco     None      blue      
1383.png	spaz           6    None      dot       green     
1384.png	ak47           1    pinata    None      green     
1385.png	revolver       None None      dot       purple    
1386.png	hunting_rifle  2    None      None      purple    
1387.png	hunting_rifle  8    None      dot       purple    
1388.png	mp5            None leaf      dot       green     
1389.png	db             8    None      holo      green     
1390.png	db             1    dice      dot       blue      
1391.png	deagle         6    None      dot       blue      
1392.png	revolver       4    medal     None      blue      
1393.png	deagle         None disco     None      purple    
1394.png	revolver       1    pinata    acog      green     
1395.png	db             7    leaf      holo      blue      
1396.png	db             6    pinata    None      green     
1397.png	p90            None None      None      red       
1398.png	db             5    None      acog      red       
1399.png	db             6    leaf      thermal   blue      
1400.png	deagle         None None      dot       blue      
1401.png	p90            2    None      acog      purple    
1402.png	rpg            2    disco     None      green     
1403.png	db             2    None      None      red       
1404.png	db             None leaf      None      green     
1405.png	deagle         2    None      acog      green     
1406.png	l96            3    None      thermal   blue      
1407.png	db             None medal     dot       blue      
1408.png	spaz           1    medal     holo      green     
1409.png	tar            2    None      acog      red       
1410.png	ray_gun        2    dice      None      green     
1411.png	spaz           None dice      acog      blue      
1412.png	mp5            3    None      thermal   purple    
1413.png	db             1    leaf      holo      blue      
1414.png	revolver       3    leaf      thermal   green     
1415.png	deagle         1    leaf      thermal   green     
1416.png	hunting_rifle  7    None      holo      purple    
1417.png	hunting_rifle  None leaf      holo      green     
1418.png	l96            2    disco     None      blue      
1419.png	mp5            5    None      dot       blue      
1420.png	ak47           3    medal     None      purple    
1421.png	spaz           3    None      acog      blue      
1422.png	revolver       7    None      None      blue      
1423.png	tar            2    leaf      acog      green     
1424.png	mp5            2    None      acog      blue      
1425.png	p90            8    None      None      green     
1426.png	p90            7    None      None      green     
1427.png	mp5            4    None      None      blue      
1428.png	revolver       4    disco     dot       red       
1429.png	tar            2    None      holo      blue      
1430.png	p90            1    leaf      None      blue      
1431.png	hunting_rifle  8    None      holo      green     
1432.png	revolver       1    None      holo      green     
1433.png	mp5            6    None      acog      blue      
1434.png	deagle         2    pinata    dot       blue      
1435.png	deagle         5    leaf      None      green     
1436.png	rpg            5    None      acog      blue      
1437.png	deagle         3    medal     dot       green     
1438.png	revolver       1    None      dot       green     
1439.png	revolver       1    medal     None      blue      
1440.png	revolver       3    dice      acog      purple    
1441.png	hunting_rifle  3    leaf      holo      purple    
1442.png	db             1    dice      holo      green     
1443.png	deagle         None leaf      None      green     
1444.png	revolver       3    pinata    thermal   blue      
1445.png	revolver       6    None      None      green     
1446.png	hunting_rifle  None None      dot       green     
1447.png	mp5            7    None      dot       blue      
1448.png	spaz           None dice      acog      blue      
1449.png	mp5            2    None      None      purple    
1450.png	deagle         2    dice      None      green     
1451.png	l96            1    leaf      None      purple    
1452.png	deagle         None None      acog      purple    
1453.png	deagle         None leaf      dot       blue      
1454.png	rpg            None None      dot       blue      
1455.png	revolver       None None      dot       green     
1456.png	tar            5    None      None      blue      
1457.png	l96            3    None      dot       green     
1458.png	db             None leaf      None      blue      
1459.png	hunting_rifle  5    None      dot       purple    
1460.png	deagle         3    None      None      green     
1461.png	revolver       7    dice      dot       purple    
1462.png	hunting_rifle  1    None      acog      green     
1463.png	mp5            5    pinata    acog      purple    
1464.png	mp5            None None      None      green     
1465.png	p90            3    disco     None      green     
1466.png	ray_gun        5    None      holo      blue      
1467.png	db             6    None      None      red       
1468.png	deagle         2    leaf      dot       green     
1469.png	mp5            2    None      acog      blue      
1470.png	revolver       7    None      dot       green     
1471.png	deagle         5    None      acog      green     
1472.png	deagle         5    None      dot       purple    
1473.png	db             None None      None      purple    
1474.png	l96            None None      None      blue      
1475.png	p90            4    leaf      acog      blue      
1476.png	mp5            1    medal     None      blue      
1477.png	deagle         4    None      dot       blue      
1478.png	mp5            6    None      acog      blue      
1479.png	spaz           1    None      dot       blue      
1480.png	db             4    None      holo      green     
1481.png	db             7    None      acog      purple    
1482.png	mp5            None None      dot       green     
1483.png	mp5            3    None      dot       purple    
1484.png	mp5            1    disco     None      green     
1485.png	mp5            5    None      None      green     
1486.png	hunting_rifle  3    None      dot       green     
1487.png	rpg            5    None      None      green     
1488.png	hunting_rifle  8    None      dot       purple    
1489.png	hunting_rifle  4    dice      dot       purple    
1490.png	rpg            None disco     acog      green     
1491.png	l96            None None      None      green     
1492.png	ak47           1    pinata    None      blue      
1493.png	db             6    medal     acog      green     
1494.png	ray_gun        3    None      holo      blue      
1495.png	db             3    None      acog      purple    
1496.png	tar            6    leaf      dot       green     
1497.png	deagle         5    None      None      blue      
1498.png	deagle         None dice      holo      green     
1499.png	l96            9    None      dot       purple    
1500.png	spaz           2    None      dot       green     
1501.png	revolver       6    dice      dot       blue      
1502.png	l96            8    disco     None      green     
1503.png	mp5            5    leaf      acog      purple    
1504.png	mp5            6    leaf      acog      green     
1505.png	p90            5    leaf      acog      purple    
1506.png	deagle         2    None      dot       purple    
1507.png	hunting_rifle  7    disco     None      green     
1508.png	spaz           None leaf      holo      blue      
1509.png	rpg            1    None      acog      blue      
1510.png	spaz           None None      None      blue      
1511.png	deagle         None disco     dot       blue      
1512.png	mp5            4    None      acog      green     
1513.png	db             3    disco     acog      purple    
1514.png	mp5            3    disco     acog      green     
1515.png	l96            7    pinata    thermal   green     
1516.png	db             7    disco     None      green     
1517.png	l96            6    pinata    None      purple    
1518.png	deagle         2    leaf      None      green     
1519.png	p90            3    None      None      blue      
1520.png	db             5    None      None      blue      
1521.png	mp5            2    dice      None      green     
1522.png	deagle         8    None      dot       green     
1523.png	p90            8    None      None      green     
1524.png	p90            8    medal     dot       green     
1525.png	ak47           3    medal     acog      red       
1526.png	mp5            2    None      holo      green     
1527.png	hunting_rifle  7    None      acog      blue      
1528.png	l96            2    medal     acog      purple    
1529.png	tar            7    None      dot       green     
1530.png	hunting_rifle  3    disco     dot       green     
1531.png	deagle         6    None      acog      blue      
1532.png	hunting_rifle  4    None      None      purple    
1533.png	tar            3    dice      None      blue      
1534.png	spaz           1    None      None      green     
1535.png	p90            3    None      acog      green     
1536.png	db             1    None      holo      blue      
1537.png	l96            None dice      dot       green     
1538.png	l96            5    None      dot       blue      
1539.png	spaz           1    pinata    holo      purple    
1540.png	hunting_rifle  None medal     thermal   green     
1541.png	l96            2    None      None      blue      
1542.png	db             1    leaf      dot       green     
1543.png	tar            6    None      holo      green     
1544.png	l96            None None      acog      green     
1545.png	db             7    leaf      dot       green     
1546.png	deagle         8    None      dot       blue      
1547.png	db             1    medal     None      green     
1548.png	p90            3    dice      None      green     
1549.png	revolver       2    None      acog      green     
1550.png	mp5            5    None      None      blue      
1551.png	p90            8    None      acog      green     
1552.png	deagle         4    dice      None      green     
1553.png	spaz           4    None      thermal   purple    
1554.png	spaz           1    dice      acog      blue      
1555.png	deagle         5    leaf      None      blue      
1556.png	spaz           5    medal     holo      green     
1557.png	deagle         3    None      dot       blue      
1558.png	revolver       1    disco     holo      blue      
1559.png	deagle         5    dice      holo      blue      
1560.png	mp5            4    dice      acog      green     
1561.png	rpg            1    leaf      acog      purple    
1562.png	revolver       2    None      dot       blue      
1563.png	db             None None      dot       green     
1564.png	p90            5    leaf      dot       green     
1565.png	spaz           3    None      acog      blue      
1566.png	revolver       4    leaf      acog      blue      
1567.png	revolver       4    disco     None      green     
1568.png	spaz           7    dice      acog      green     
1569.png	l96            None None      None      blue      
1570.png	ak47           None medal     acog      green     
1571.png	revolver       6    leaf      None      green     
1572.png	p90            None dice      None      blue      
1573.png	p90            1    None      None      blue      
1574.png	tar            7    None      None      green     
1575.png	spaz           None None      acog      blue      
1576.png	l96            None leaf      None      green     
1577.png	mp5            1    medal     acog      green     
1578.png	l96            4    leaf      dot       blue      
1579.png	l96            3    pinata    None      blue      
1580.png	deagle         4    leaf      dot       green     
1581.png	deagle         2    None      acog      blue      
1582.png	p90            7    leaf      holo      green     
1583.png	revolver       7    leaf      dot       blue      
1584.png	db             4    None      dot       red       
1585.png	mp5            1    dice      dot       green     
1586.png	db             6    None      acog      blue      
1587.png	mp5            6    None      acog      red       
1588.png	spaz           1    dice      dot       blue      
1589.png	p90            1    leaf      acog      purple    
1590.png	knife          1    disco     None      purple    
1591.png	revolver       3    disco     holo      green     
1592.png	hunting_rifle  6    dice      dot       blue      
1593.png	mp5            8    None      acog      green     
1594.png	db             3    None      None      blue      
1595.png	deagle         1    None      holo      green     
1596.png	l96            1    None      dot       blue      
1597.png	revolver       4    dice      None      blue      
1598.png	deagle         2    None      dot       blue      
1599.png	spaz           2    medal     None      green     
1600.png	tar            1    leaf      holo      red       
1601.png	spaz           3    pinata    None      purple    
1602.png	revolver       4    None      None      green     
1603.png	hunting_rifle  8    disco     holo      green     
1604.png	ak47           5    leaf      dot       purple    
1605.png	l96            4    None      None      purple    
1606.png	mp5            6    None      None      green     
1607.png	db             5    None      holo      green     
1608.png	p90            None leaf      None      purple    
1609.png	spaz           4    None      None      purple    
1610.png	p90            2    medal     acog      blue      
1611.png	spaz           7    None      None      green     
1612.png	hunting_rifle  None None      holo      red       
1613.png	deagle         5    None      None      green     
1614.png	revolver       2    None      dot       green     
1615.png	revolver       6    leaf      None      blue      
1616.png	deagle         None None      None      blue      
1617.png	deagle         6    dice      holo      green     
1618.png	mp5            3    leaf      thermal   green     
1619.png	mp5            4    medal     acog      blue      
1620.png	mp5            4    disco     acog      blue      
1621.png	db             7    medal     None      blue      
1622.png	spaz           3    None      acog      green     
1623.png	db             None leaf      dot       purple    
1624.png	revolver       6    None      thermal   green     
1625.png	ray_gun        3    disco     None      green     
1626.png	l96            8    leaf      dot       green     
1627.png	hunting_rifle  5    disco     holo      green     
1628.png	deagle         2    None      None      blue      
1629.png	l96            6    None      None      blue      
1630.png	p90            5    None      None      red       
1631.png	l96            5    medal     None      purple    
1632.png	revolver       2    None      None      green     
1633.png	deagle         6    leaf      holo      red       
1634.png	spaz           8    disco     None      green     
1635.png	deagle         2    pinata    None      red       
1636.png	deagle         2    dice      None      purple    
1637.png	spaz           6    leaf      thermal   green     
1638.png	revolver       7    medal     None      purple    
1639.png	deagle         8    None      acog      green     
1640.png	tar            None None      acog      purple    
1641.png	mp5            3    dice      dot       purple    
1642.png	mp5            8    medal     dot       green     
1643.png	db             3    pinata    thermal   blue      
1644.png	hunting_rifle  6    leaf      dot       green     
1645.png	db             7    None      None      green     
1646.png	db             5    None      None      red       
1647.png	p90            7    leaf      acog      blue      
1648.png	db             None leaf      thermal   blue      
1649.png	db             3    dice      dot       green     
1650.png	revolver       None None      None      blue      
1651.png	hunting_rifle  6    None      None      purple    
1652.png	mp5            5    None      dot       blue      
1653.png	db             3    None      acog      green     
1654.png	deagle         None None      dot       green     
1655.png	revolver       7    leaf      dot       green     
1656.png	hunting_rifle  8    None      dot       blue      
1657.png	p90            None disco     None      green     
1658.png	revolver       None leaf      acog      blue      
1659.png	spaz           6    medal     None      blue      
1660.png	mp5            None None      dot       green     
1661.png	hunting_rifle  5    None      dot       blue      
1662.png	spaz           8    leaf      acog      blue      
1663.png	l96            4    None      dot       green     
1664.png	revolver       None None      None      green     
1665.png	mp5            6    None      dot       purple    
1666.png	revolver       2    None      dot       blue      
1667.png	db             None None      dot       green     
1668.png	revolver       2    None      dot       green     
1669.png	mp5            1    None      None      green     
1670.png	spaz           5    leaf      None      green     
1671.png	db             5    None      acog      blue      
1672.png	spaz           4    dice      None      green     
1673.png	db             None leaf      None      green     
1674.png	spaz           8    disco     None      green     
1675.png	spaz           2    dice      dot       blue      
1676.png	mp5            2    None      acog      green     
1677.png	deagle         5    None      None      blue      
1678.png	p90            1    dice      acog      green     
1679.png	deagle         7    None      None      purple    
1680.png	p90            1    leaf      dot       purple    
1681.png	spaz           5    None      thermal   green     
1682.png	mp5            5    disco     acog      blue      
1683.png	revolver       6    None      None      green     
1684.png	l96            2    pinata    dot       green     
1685.png	deagle         2    medal     None      green     
1686.png	db             4    disco     acog      purple    
1687.png	p90            3    None      dot       purple    
1688.png	revolver       6    medal     None      green     
1689.png	mp5            5    medal     holo      purple    
1690.png	hunting_rifle  4    dice      None      green     
1691.png	db             4    None      acog      blue      
1692.png	p90            None leaf      None      green     
1693.png	p90            4    None      None      blue      
1694.png	mp5            None medal     acog      blue      
1695.png	hunting_rifle  None leaf      acog      purple    
1696.png	spaz           6    dice      None      blue      
1697.png	db             6    medal     dot       green     
1698.png	db             1    pinata    None      blue      
1699.png	rpg            None dice      acog      green     
1700.png	hunting_rifle  None None      dot       green     
1701.png	revolver       5    leaf      acog      blue      
1702.png	l96            None disco     dot       green     
1703.png	deagle         5    leaf      holo      blue      
1704.png	mp5            5    leaf      None      green     
1705.png	db             8    leaf      dot       blue      
1706.png	l96            3    None      None      green     
1707.png	mp5            8    disco     None      green     
1708.png	hunting_rifle  7    disco     dot       green     
1709.png	hunting_rifle  1    None      None      blue      
1710.png	db             5    medal     None      green     
1711.png	db             1    disco     acog      purple    
1712.png	rpg            6    pinata    dot       blue      
1713.png	ray_gun        4    leaf      dot       green     
1714.png	deagle         4    pinata    None      blue      
1715.png	revolver       3    pinata    holo      green     
1716.png	tar            4    leaf      acog      blue      
1717.png	mp5            3    dice      dot       blue      
1718.png	mp5            None leaf      None      blue      
1719.png	deagle         7    leaf      holo      green     
1720.png	revolver       3    None      None      blue      
1721.png	spaz           None None      None      green     
1722.png	mp5            3    disco     acog      red       
1723.png	db             1    leaf      dot       purple    
1724.png	l96            None None      None      red       
1725.png	mp5            1    leaf      holo      green     
1726.png	spaz           5    None      dot       green     
1727.png	db             7    None      dot       green     
1728.png	p90            1    None      None      green     
1729.png	revolver       6    medal     dot       green     
1730.png	revolver       None None      dot       green     
1731.png	spaz           6    None      None      green     
1732.png	revolver       None medal     None      blue      
1733.png	mp5            5    None      holo      green     
1734.png	revolver       3    dice      dot       green     
1735.png	deagle         1    None      holo      green     
1736.png	revolver       8    dice      holo      blue      
1737.png	p90            5    disco     acog      purple    
1738.png	revolver       2    None      dot       purple    
1739.png	hunting_rifle  5    None      dot       green     
1740.png	revolver       1    dice      None      green     
1741.png	revolver       5    leaf      dot       blue      
1742.png	revolver       7    None      None      green     
1743.png	deagle         None dice      None      green     
1744.png	ak47           2    leaf      None      green     
1745.png	revolver       6    None      holo      blue      
1746.png	p90            None None      holo      blue      
1747.png	spaz           5    pinata    None      purple    
1748.png	mp5            6    None      None      blue      
1749.png	revolver       3    leaf      holo      purple    
1750.png	db             3    leaf      None      green     
1751.png	p90            None None      None      blue      
1752.png	deagle         2    leaf      None      purple    
1753.png	spaz           1    medal     thermal   green     
1754.png	deagle         4    None      thermal   green     
1755.png	ak47           2    leaf      None      green     
1756.png	db             1    leaf      holo      green     
1757.png	l96            5    leaf      acog      green     
1758.png	mp5            None dice      acog      blue      
1759.png	hunting_rifle  None disco     dot       blue      
1760.png	l96            5    leaf      acog      green     
1761.png	p90            1    None      None      purple    
1762.png	hunting_rifle  2    None      None      green     
1763.png	rpg            None None      dot       green     
1764.png	spaz           8    leaf      None      green     
1765.png	p90            5    medal     holo      blue      
1766.png	db             7    leaf      None      purple    
1767.png	revolver       4    leaf      dot       blue      
1768.png	spaz           None None      dot       green     
1769.png	revolver       2    pinata    holo      blue      
1770.png	ak47           5    dice      acog      red       
1771.png	db             2    None      dot       green     
1772.png	l96            5    leaf      holo      green     
1773.png	p90            1    medal     None      blue      
1774.png	mp5            2    None      dot       green     
1775.png	mp5            7    leaf      None      blue      
1776.png	deagle         None None      dot       green     
1777.png	deagle         None None      None      green     
1778.png	spaz           3    leaf      acog      blue      
1779.png	deagle         6    disco     acog      blue      
1780.png	deagle         3    None      holo      green     
1781.png	db             5    dice      acog      purple    
1782.png	deagle         6    None      holo      green     
1783.png	l96            4    None      dot       green     
1784.png	spaz           6    None      None      green     
1785.png	l96            None leaf      thermal   blue      
1786.png	deagle         8    pinata    dot       blue      
1787.png	p90            8    medal     holo      purple    
1788.png	p90            8    leaf      dot       green     
1789.png	deagle         2    None      dot       green     
1790.png	deagle         1    disco     acog      green     
1791.png	knife          3    None      None      green     
1792.png	l96            1    medal     dot       green     
1793.png	deagle         None None      None      green     
1794.png	tar            1    None      holo      purple    
1795.png	p90            2    None      holo      blue      
1796.png	db             7    leaf      thermal   green     
1797.png	mp5            4    leaf      dot       purple    
1798.png	p90            3    pinata    None      green     
1799.png	db             5    dice      acog      blue      
1800.png	db             2    None      None      blue      
1801.png	tar            1    None      acog      purple    
1802.png	tar            2    medal     None      blue      
1803.png	revolver       8    None      acog      purple    
1804.png	hunting_rifle  7    medal     None      green     
1805.png	hunting_rifle  3    leaf      None      blue      
1806.png	p90            None None      holo      purple    
1807.png	deagle         6    leaf      acog      blue      
1808.png	revolver       None disco     thermal   blue      
1809.png	revolver       None disco     holo      blue      
1810.png	db             2    medal     None      green     
1811.png	ak47           2    medal     None      red       
1812.png	l96            4    disco     None      blue      
1813.png	ak47           7    disco     None      green     
1814.png	tar            1    None      acog      green     
1815.png	deagle         3    None      acog      blue      
1816.png	hunting_rifle  4    medal     holo      red       
1817.png	spaz           3    None      dot       red       
1818.png	db             6    leaf      None      blue      
1819.png	revolver       1    leaf      acog      blue      
1820.png	revolver       None disco     holo      purple    
1821.png	p90            3    leaf      dot       blue      
1822.png	deagle         5    medal     holo      blue      
1823.png	l96            6    dice      None      green     
1824.png	mp5            7    leaf      dot       purple    
1825.png	spaz           2    pinata    acog      purple    
1826.png	db             4    None      holo      green     
1827.png	revolver       3    medal     dot       blue      
1828.png	p90            2    pinata    holo      blue      
1829.png	p90            1    None      dot       blue      
1830.png	revolver       None None      holo      green     
1831.png	deagle         3    disco     acog      blue      
1832.png	p90            5    dice      None      blue      
1833.png	hunting_rifle  5    disco     acog      green     
1834.png	deagle         6    leaf      None      blue      
1835.png	db             1    None      thermal   green     
1836.png	hunting_rifle  4    None      None      green     
1837.png	revolver       2    dice      acog      purple    
1838.png	p90            None None      None      blue      
1839.png	spaz           1    disco     dot       green     
1840.png	deagle         None leaf      thermal   purple    
1841.png	mp5            4    leaf      dot       green     
1842.png	hunting_rifle  None leaf      holo      blue      
1843.png	hunting_rifle  5    None      dot       purple    
1844.png	revolver       8    leaf      acog      blue      
1845.png	revolver       2    None      dot       purple    
1846.png	revolver       3    leaf      acog      blue      
1847.png	db             1    None      None      green     
1848.png	mp5            6    pinata    None      purple    
1849.png	ray_gun        8    dice      None      green     
1850.png	deagle         4    medal     dot       purple    
1851.png	db             None None      dot       green     
1852.png	mp5            3    dice      acog      green     
1853.png	revolver       None disco     acog      purple    
1854.png	l96            None None      dot       green     
1855.png	db             5    disco     holo      blue      
1856.png	db             1    None      None      purple    
1857.png	spaz           None None      None      red       
1858.png	revolver       3    None      None      blue      
1859.png	p90            3    disco     None      blue      
1860.png	hunting_rifle  None None      None      blue      
1861.png	deagle         None dice      dot       green     
1862.png	db             3    dice      holo      blue      
1863.png	hunting_rifle  None None      acog      green     
1864.png	deagle         1    dice      dot       purple    
1865.png	spaz           None None      acog      green     
1866.png	spaz           7    None      None      purple    
1867.png	mp5            7    dice      holo      green     
1868.png	db             5    disco     None      green     
1869.png	deagle         1    None      acog      green     
1870.png	mp5            8    None      dot       green     
1871.png	db             None disco     None      green     
1872.png	l96            None leaf      thermal   red       
1873.png	rpg            1    None      None      blue      
1874.png	deagle         6    pinata    None      blue      
1875.png	spaz           1    leaf      acog      green     
1876.png	hunting_rifle  4    leaf      dot       green     
1877.png	mp5            None None      None      red       
1878.png	spaz           6    None      dot       green     
1879.png	revolver       5    medal     None      purple    
1880.png	hunting_rifle  None dice      acog      blue      
1881.png	deagle         5    medal     acog      blue      
1882.png	revolver       None pinata    acog      green     
1883.png	rpg            None disco     dot       purple    
1884.png	db             2    None      None      blue      
1885.png	mp5            4    None      None      green     
1886.png	p90            None pinata    None      purple    
1887.png	deagle         2    pinata    acog      blue      
1888.png	spaz           4    None      thermal   green     
1889.png	tar            8    None      acog      green     
1890.png	knife          1    None      None      green     
1891.png	l96            7    None      None      green     
1892.png	hunting_rifle  2    medal     dot       red       
1893.png	rpg            None None      None      green     
1894.png	deagle         1    medal     dot       purple    
1895.png	deagle         None None      dot       blue      
1896.png	spaz           1    None      dot       green     
1897.png	db             4    pinata    dot       purple    
1898.png	hunting_rifle  6    None      holo      green     
1899.png	revolver       3    None      None      green     
1900.png	p90            3    None      None      green     
1901.png	hunting_rifle  3    None      None      blue      
1902.png	deagle         1    dice      dot       blue      
1903.png	tar            7    None      None      blue      
1904.png	deagle         4    disco     dot       blue      
1905.png	p90            None None      dot       green     
1906.png	mp5            2    None      holo      green     
1907.png	deagle         5    leaf      holo      green     
1908.png	db             8    None      acog      green     
1909.png	l96            1    leaf      acog      blue      
1910.png	l96            7    None      holo      green     
1911.png	revolver       2    None      None      blue      
1912.png	hunting_rifle  1    None      holo      green     
1913.png	p90            2    None      None      green     
1914.png	deagle         5    None      acog      purple    
1915.png	hunting_rifle  1    None      None      green     
1916.png	db             None None      dot       purple    
1917.png	deagle         7    leaf      None      green     
1918.png	revolver       7    None      dot       blue      
1919.png	l96            1    None      None      red       
1920.png	hunting_rifle  4    leaf      None      blue      
1921.png	revolver       4    leaf      acog      red       
1922.png	p90            None None      acog      purple    
1923.png	hunting_rifle  3    leaf      dot       green     
1924.png	deagle         1    pinata    holo      green     
1925.png	revolver       7    leaf      holo      blue      
1926.png	p90            3    disco     acog      blue      
1927.png	spaz           7    dice      dot       green     
1928.png	spaz           4    None      dot       green     
1929.png	spaz           8    pinata    dot       blue      
1930.png	ak47           2    medal     dot       purple    
1931.png	db             3    leaf      None      green     
1932.png	deagle         3    None      None      blue      
1933.png	spaz           8    None      holo      blue      
1934.png	spaz           5    None      acog      red       
1935.png	ak47           6    None      dot       green     
1936.png	db             None None      acog      blue      
1937.png	revolver       3    None      acog      green     
1938.png	spaz           6    None      None      green     
1939.png	deagle         None disco     acog      purple    
1940.png	knife          1    None      None      blue      
1941.png	ak47           1    None      acog      purple    
1942.png	revolver       3    disco     dot       green     
1943.png	spaz           8    disco     None      green     
1944.png	p90            3    leaf      None      green     
1945.png	spaz           4    None      dot       blue      
1946.png	revolver       5    None      dot       green     
1947.png	p90            None disco     dot       blue      
1948.png	spaz           1    medal     None      blue      
1949.png	spaz           3    medal     acog      blue      
1950.png	db             None None      holo      blue      
1951.png	db             1    leaf      dot       purple    
1952.png	revolver       1    leaf      None      blue      
1953.png	mp5            1    disco     acog      green     
1954.png	mp5            4    None      acog      purple    
1955.png	l96            1    leaf      dot       blue      
1956.png	revolver       4    None      holo      blue      
1957.png	revolver       2    None      None      green     
1958.png	deagle         3    None      None      green     
1959.png	db             2    disco     None      blue      
1960.png	deagle         2    None      holo      blue      
1961.png	spaz           None None      acog      purple    
1962.png	db             1    None      dot       blue      
1963.png	l96            None dice      None      blue      
1964.png	spaz           None leaf      acog      green     
1965.png	db             None leaf      thermal   green     
1966.png	hunting_rifle  3    None      None      green     
1967.png	revolver       None leaf      holo      green     
1968.png	hunting_rifle  8    None      thermal   green     
1969.png	p90            6    dice      dot       green     
1970.png	deagle         1    leaf      None      blue      
1971.png	tar            None disco     dot       blue      
1972.png	revolver       None None      dot       green     
1973.png	spaz           7    pinata    holo      green     
1974.png	spaz           7    None      dot       green     
1975.png	p90            1    disco     dot       purple    
1976.png	spaz           None medal     thermal   green     
1977.png	revolver       2    medal     holo      purple    
1978.png	deagle         3    dice      None      purple    
1979.png	revolver       8    None      acog      blue      
1980.png	p90            5    None      acog      green     
1981.png	db             1    None      None      blue      
1982.png	revolver       2    None      None      blue      
1983.png	revolver       4    None      None      green     
1984.png	mp5            4    None      None      blue      
1985.png	revolver       2    dice      acog      green     
1986.png	db             None medal     acog      blue      
1987.png	spaz           1    None      dot       green     
1988.png	mp5            2    None      None      green     
1989.png	l96            None None      dot       purple    
1990.png	hunting_rifle  None leaf      None      green     
1991.png	db             None None      dot       blue      
1992.png	spaz           1    medal     thermal   green     
1993.png	revolver       1    leaf      None      green     
1994.png	p90            6    None      holo      green     
1995.png	mp5            None None      acog      blue      
1996.png	p90            None medal     None      blue      
1997.png	mp5            4    None      None      green     
1998.png	db             2    None      holo      green     
1999.png	l96            7    None      dot       purple    
2000.png	spaz           3    None      None      blue      
2001.png	p90            3    None      dot       blue      
2002.png	mp5            4    None      dot       blue      
2003.png	p90            3    None      holo      blue      
2004.png	p90            2    medal     holo      blue      
2005.png	db             1    None      None      blue      
2006.png	mp5            7    None      None      red       
2007.png	l96            7    leaf      dot       blue      
2008.png	spaz           5    None      thermal   blue      
2009.png	revolver       1    None      dot       purple    
2010.png	mp5            None None      dot       blue      
2011.png	revolver       3    None      None      blue      
2012.png	p90            3    None      None      purple    
2013.png	revolver       4    None      acog      blue      
2014.png	revolver       3    None      dot       red       
2015.png	mp5            5    dice      acog      red       
2016.png	spaz           5    None      thermal   blue      
2017.png	db             None None      None      blue      
